Date,Station Name,Type,Latitude,Longitude,System,Private Partner,Public Partner,Borough,Census Tract,Phase,Data Collected,Average Radius of Connection (ft),year
2014-05-30,pole 76 - 7ASEC133,Outdoor,40.8139300002,-73.9449549995,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,226,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,"Euclid Av (A,C)",Subway Station,40.675377,-73.8721059998,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,1196,NA,"Device mac address, IP address, Browsing History",150,2017
2013-07-30,Coney Island Beach & Boardwalk,Outdoor,40.5726749996,-73.9856179998,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,352,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Williamsbridge Oval,Outdoor,40.8784449997,-73.8754800001,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,423,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Coney Island Beach & Boardwalk,Outdoor,40.5735509999,-73.9773659998,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,352,NA,"Device mac address, IP address, Browsing History",150,2013
2014-05-30,pole 09: 119C5av,Outdoor,40.8026839999,-73.9451580005,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,200,NA,"Device mac address, IP address, Browsing History",150,2014
2006-01-01,Ozone Park,Library,40.6808618482,-73.8464887284,Wifi Hotspots,QPL,Queens Public Library (QPL),4,54,NA,"Device mac address, IP address, Browsing History",150,2006
2018-09-20,Jackie Robinson Recreation Center,Indoor,40.8241309998,-73.9424640006,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,231,NA,"Device mac address, IP address, Browsing History",150,2018
2006-01-01,Court Square,Library,40.7470624208,-73.9442436779,Wifi Hotspots,QPL,Queens Public Library (QPL),4,19,NA,"Device mac address, IP address, Browsing History",150,2006
2017-12-30,18 Street - 1,Subway Station,40.7410399998,-73.9978709994,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,81,NA,"Device mac address, IP address, Browsing History",150,2017
2017-12-30,IRT-2-5-149TH ST - GRAND CONCOURSE,Subway Station,40.81841,-73.9267179996,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),2,51,NA,"Device mac address, IP address, Browsing History",150,2017
2014-05-30,42 West 120th Street_THAL (new),Outdoor,40.8037859998,-73.9461589995,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,200,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,IRT - East 143 St-St Mary's St (6),Subway Station,40.808719,-73.9076570006,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),2,31,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,Lost Battalion Hall Recreation Center,Indoor,40.7316749998,-73.8656070003,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,71702,NA,"Device mac address, IP address, Browsing History",150,2018
2018-09-20,Roy Wilkins Recreation Center,Indoor,40.687191,-73.7695589996,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,426,NA,"Device mac address, IP address, Browsing History",150,2018
2011-06-12,The Battery,Outdoor,40.7029999997,-74.0167999996,Wifi Hotspots,AT&T,Office of Technology and Innovation (OTI),1,319,NA,"Device mac address, IP address, Browsing History",150,2011
2017-12-30,"Lower East Side-2 Av (F,V)",Subway Station,40.7234019998,-73.989938,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,3602,NA,"Device mac address, IP address, Browsing History",150,2017
2013-07-30,Prospect Park,Outdoor,40.6611970004,-73.9652520003,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,177,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,St. Mary's Park,Indoor,40.811544,-73.9141379999,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,37,NA,"Device mac address, IP address, Browsing History",150,2013
2003-12-12,Battery Park City Library,Library,40.7154881544,-74.0162138359,Wifi Hotspots,NYPL,New York Public Library (NPL),1,31703,NA,"Device mac address, IP address, Browsing History",150,2003
2011-06-12,Thomas Paine Park,Outdoor,40.7147999999,-74.0028000002,Wifi Hotspots,AT&T,Office of Technology and Innovation (OTI),1,31,NA,"Device mac address, IP address, Browsing History",150,2011
2013-07-30,Bensonhurst Park,Outdoor,40.5975849999,-74.0011120005,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,292,NA,"Device mac address, IP address, Browsing History",150,2013
2014-03-14,333 Adams St.,Outdoor,40.6936359997,-73.9883469996,Wifi Hotspots,Downtown Brooklyn,Office of Technology and Innovation (OTI),3,11,NA,"Device mac address, IP address, Browsing History",150,2014
2003-12-12,Throg's Neck,Library,40.8229035714,-73.8190936365,Wifi Hotspots,NYPL,New York Public Library (NPL),2,158,NA,"Device mac address, IP address, Browsing History",150,2003
2017-12-30,"125 St (A,B,C,D)",Subway Station,40.8111090001,-73.9523430005,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,20901,NA,"Device mac address, IP address, Browsing History",150,2017
2017-12-30,PARSONS - ARCHER (JAMAICA CENTER),Subway Station,40.702147,-73.8011089995,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),4,246,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,Midland Beach and Franklin D. Roosevelt Boardwalk,Outdoor,40.5786309996,-74.0768009998,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),5,11201,NA,"Device mac address, IP address, Browsing History",150,2018
2013-07-31,Cunningham Park,Outdoor,40.729869,-73.7738410001,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,1283,NA,"Device mac address, IP address, Browsing History",150,2013
2003-12-12,Van Nest,Library,40.8548777848,-73.8641435801,Wifi Hotspots,NYPL,New York Public Library (NPL),2,228,NA,"Device mac address, IP address, Browsing History",150,2003
2014-12-30,Ulmer Park - Brooklyn Public Library,Library,40.5926531297,-73.9886820957,Wifi Hotspots,BPL,Brooklyn Public Library (BPL),3,304,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,Jefferson St (L),Subway Station,40.7066070001,-73.9229129996,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,447,NA,"Device mac address, IP address, Browsing History",150,2017
2013-07-31,McCarren Park,Outdoor,40.7200789997,-73.9495109998,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),3,515,NA,"Device mac address, IP address, Browsing History",150,2013
2014-03-14,573 Fulton St. (Pole),Outdoor,40.6893339998,-73.9819749997,Wifi Hotspots,Downtown Brooklyn,Office of Technology and Innovation (OTI),3,33,NA,"Device mac address, IP address, Browsing History",150,2014
2014-05-30,pole 54: MavSEC128,Outdoor,40.8075940004,-73.939065,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,206,NA,"Device mac address, IP address, Browsing History",150,2014
2013-07-30,Joyce Kilmer Park,Outdoor,40.8278309999,-73.9226770005,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,195,NA,"Device mac address, IP address, Browsing History",150,2013
2018-09-20,Snug Harbor Cultural Center,Outdoor,40.6437820001,-74.102245000600007,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),5,97,NA,"Device mac address, IP address, Browsing History",150,2018
2013-07-31,Thomas Jefferson Park,Indoor,40.7936690002,-73.9368160005,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,178,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-31,Alley Pond Park,Outdoor,40.739154,-73.7377180002,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,1567,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Brownsville Recreation Center,Indoor,40.6559,-73.9028500002,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,922,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Crotona Park,Outdoor,40.8416259997,-73.8929609999,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,36902,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-31,Madison Square Park,Outdoor,40.7431000004,-73.9883000001,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,56,NA,"Device mac address, IP address, Browsing History",150,2013
2017-12-30,103 St (6),Subway Station,40.7906000001,-73.9474780003,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,166,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,London Planetree Playground,Outdoor TWC Aerial,40.6870730002,-73.8531530003,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,16,NA,"Device mac address, IP address, Browsing History",150,2018
2014-12-30,Park Slope - Brooklyn Public Library,Library,40.6682166933,-73.9834274329,Wifi Hotspots,BPL,Brooklyn Public Library (BPL),3,153,NA,"Device mac address, IP address, Browsing History",150,2014
2014-05-30,Pole 62 - 7avNWC130,Outdoor,40.8120370003,-73.946231,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,224,NA,"Device mac address, IP address, Browsing History",150,2014
2013-07-30,Coney Island Beach & Boardwalk,Outdoor,40.5733840001,-73.9789369997,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,352,NA,"Device mac address, IP address, Browsing History",150,2013
2017-12-30,"34 St-Penn Station (A,C,E)",Subway Station,40.7522869999,-73.9933909997,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,109,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,Brooklyn Heights Promenade,Outdoor,40.6969889996,-73.9974860003,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),3,301,NA,"Device mac address, IP address, Browsing History",150,2018
2013-07-31,Hunter's Point South Park,Outdoor,40.7419939997,-73.9612560003,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,1,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-31,Elmhurst Park,Outdoor TWC Aerial,40.7288380002,-73.8837509996,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,499,NA,"Device mac address, IP address, Browsing History",150,2013
2011-06-12,11,Outdoor,40.7047004998,-74.0089035,Wifi Hotspots,Manhattan Down Alliance,Office of Technology and Innovation (OTI),1,7,NA,"Device mac address, IP address, Browsing History",150,2011
2018-09-20,Hansborough Recreation Center,Indoor,40.8126809996,-73.9393569996,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,212,NA,"Device mac address, IP address, Browsing History",150,2018
2003-12-12,Columbus,Library,40.7649346184,-73.9912208178,Wifi Hotspots,NYPL,New York Public Library (NPL),1,133,NA,"Device mac address, IP address, Browsing History",150,2003
2011-06-12,Thomas Jefferson Park,Outdoor,40.7930999996,-73.9354000003,Wifi Hotspots,AT&T,Office of Technology and Innovation (OTI),1,178,NA,"Device mac address, IP address, Browsing History",150,2011
2018-09-20,Snug Harbor Cultural Center,Outdoor,40.6419629997,-74.1020260005,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),5,97,NA,"Device mac address, IP address, Browsing History",150,2018
2017-12-30,Lafayette Av (C),Subway Station,40.6861130002,-73.9739459997,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,181,NA,"Device mac address, IP address, Browsing History",150,2017
2018-09-20,Alfred E. Smith Playground,Indoor,40.7102499999,-73.9979799999,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),1,25,NA,"Device mac address, IP address, Browsing History",150,2018
2014-03-14,125 Flatbush Ave. Extension,Outdoor,40.6955779998,-73.9839699996,Wifi Hotspots,Downtown Brooklyn,Office of Technology and Innovation (OTI),3,15,NA,"Device mac address, IP address, Browsing History",150,2014
2013-01-30,8th and 15 th SE pole,Outdoor,40.7402745363,-74.0019750591,Wifi Hotspots,Google,Office of Technology and Innovation (OTI),1,81,NA,"Device mac address, IP address, Browsing History",150,2013
2006-01-01,Rosedale,Library,40.6599636231,-73.7399110132,Wifi Hotspots,QPL,Queens Public Library (QPL),4,654,NA,"Device mac address, IP address, Browsing History",150,2006
2014-03-14,409 Fulton St.,Outdoor,40.6921780001,-73.9883039999,Wifi Hotspots,Downtown Brooklyn,Office of Technology and Innovation (OTI),3,11,NA,"Device mac address, IP address, Browsing History",150,2014
2014-05-30,pole 47 - 124SS2E8,Outdoor,40.8088430001,-73.9504950003,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,222,NA,"Device mac address, IP address, Browsing History",150,2014
2014-05-30,pole 23: 116CStNk-7av,Outdoor,40.8035109996,-73.9529419999,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,218,NA,"Device mac address, IP address, Browsing History",150,2014
2014-05-30,pole 69: 132NS2E8av,Outdoor,40.8141249998,-73.9469930003,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,226,NA,"Device mac address, IP address, Browsing History",150,2014
2013-01-30,18th between 9th and 10th,Outdoor,40.7441275609,-74.0050435071,Wifi Hotspots,Google,Office of Technology and Innovation (OTI),1,89,NA,"Device mac address, IP address, Browsing History",150,2013
2017-12-30,"Canal St (A,C,E)",Subway Station,40.7208240001,-74.005229,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,33,NA,"Device mac address, IP address, Browsing History",150,2017
2013-07-30,Wingate Park,Outdoor,40.6583100001,-73.9440599999,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,810,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Manhattan Beach Park,Outdoor,40.5768699999,-73.9445900006,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,616,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Ferry Point Park,Outdoor,40.8177319996,-73.8236799998,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,110,NA,"Device mac address, IP address, Browsing History",150,2013
2018-05-01,Governors Island,Outdoor,40.6901300004,-74.0193399996,Wifi Hotspots,Fiberless,Office of Technology and Innovation (OTI),1,5,NA,"Device mac address, IP address, Browsing History",150,2018
2013-07-30,MARINE PARK,Outdoor,40.6060290001,-73.9284660004,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,658,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Ferry Point Park,Outdoor,40.8164360002,-73.8382920001,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,90,NA,"Device mac address, IP address, Browsing History",150,2013
2017-12-30,"Broad St (J,Z)",Subway Station,40.7064760002,-74.0110559999,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,7,NA,"Device mac address, IP address, Browsing History",150,2017
2017-12-30,Flushing-Main St (7),Subway Station,40.7596,-73.8300300003,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),4,871,NA,"Device mac address, IP address, Browsing History",150,2017
2017-12-30,"Eastern Pkwy-Brooklyn Museum (2,3)",Subway Station,40.6719869996,-73.9643750004,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,177,NA,"Device mac address, IP address, Browsing History",150,2017
2003-12-12,Great Kills,Library,40.5524232628,-74.1511116431,Wifi Hotspots,NYPL,New York Public Library (NPL),5,14604,NA,"Device mac address, IP address, Browsing History",150,2003
2006-01-01,Sunnyside,Library,40.7408087817,-73.9216691603,Wifi Hotspots,QPL,Queens Public Library (QPL),4,18502,NA,"Device mac address, IP address, Browsing History",150,2006
2017-12-30,"DeKalb Av (B,M,Q,R)",Subway Station,40.6906349998,-73.9818239995,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,31,NA,"Device mac address, IP address, Browsing History",150,2017
2011-06-12,3,Outdoor,40.7070006997,-74.0035019003,Wifi Hotspots,Manhattan Down Alliance,Office of Technology and Innovation (OTI),1,1501,NA,"Device mac address, IP address, Browsing History",150,2011
2011-06-12,28,Outdoor,40.7043990997,-74.0101012997,Wifi Hotspots,Manhattan Down Alliance,Office of Technology and Innovation (OTI),1,9,NA,"Device mac address, IP address, Browsing History",150,2011
2014-12-30,Windsor Terrace - Brooklyn Public Library,Library,40.6487169711,-73.9767572777,Wifi Hotspots,BPL,Brooklyn Public Library (BPL),3,500,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,NORTHERN BOULEVARD,Subway Station,40.7528849997,-73.9060059998,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),4,255,NA,"Device mac address, IP address, Browsing History",150,2017
2017-12-30,Fort Hamilton Pkwy (F),Subway Station,40.6507820003,-73.9757760002,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),3,504,NA,"Device mac address, IP address, Browsing History",150,2017
2003-12-12,Woodstock,Library,40.8206415647,-73.9046288601,Wifi Hotspots,NYPL,New York Public Library (NPL),2,77,NA,"Device mac address, IP address, Browsing History",150,2003
2013-07-31,Red Hook Park,Outdoor TWC Aerial,40.6729689999,-74.0069149999,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),3,53,NA,"Device mac address, IP address, Browsing History",150,2013
2014-05-30,Pole 49: 126NS2E8av,Outdoor,40.810178,-73.9489240003,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,224,NA,"Device mac address, IP address, Browsing History",150,2014
2017-12-30,"14th Street - 6th Avenue - F, M",Subway Station,40.7373350001,-73.9967859996,Wifi Hotspots,Transit Wireless,Office of Technology and Innovation (OTI),1,63,NA,"Device mac address, IP address, Browsing History",150,2017
2018-05-01,Governors Island,Outdoor,40.6885499998,-74.0181199997,Wifi Hotspots,Fiberless,Office of Technology and Innovation (OTI),1,5,NA,"Device mac address, IP address, Browsing History",150,2018
2013-07-30,Williamsbridge Oval,Indoor,40.8768270004,-73.8787249995,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,423,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-31,Clove Lakes Park - Lake Club Restaurant,Outdoor,40.6180639999,-74.1081859996,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),5,147,NA,"Device mac address, IP address, Browsing History",150,2013
2018-09-20,Rockaway Beach and Boardwalk,Outdoor,40.5828240003,-73.8175779995,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,94201,NA,"Device mac address, IP address, Browsing History",150,2018
2018-09-20,Roy Wilkins Recreation Center,Indoor,40.687191,-73.7695589996,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,426,NA,"Device mac address, IP address, Browsing History",150,2018
2003-12-12,St. George Library Center,Library,40.6417853679,-74.0766457652,Wifi Hotspots,NYPL,New York Public Library (NPL),5,3,NA,"Device mac address, IP address, Browsing History",150,2003
2013-07-30,Crotona Park,Outdoor,40.8397090001,-73.8874640004,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,367,NA,"Device mac address, IP address, Browsing History",150,2013
2014-05-30,35E125 unit 1,Outdoor,40.8059709999,-73.9405659999,Wifi Hotspots,Harlem,Office of Technology and Innovation (OTI),1,198,NA,"Device mac address, IP address, Browsing History",150,2014
2013-07-30,St. Mary's Park,Outdoor,40.811544,-73.9141379999,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),2,37,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-30,Prospect Park,Outdoor,40.6507380002,-73.9684290006,Wifi Hotspots,ALTICEUSA,Office of Technology and Innovation (OTI),3,177,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-31,Alley Pond Park,Outdoor,40.7395470004,-73.7359200005,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,1567,NA,"Device mac address, IP address, Browsing History",150,2013
2006-01-01,300 Jay Street,Outdoor,40.6950879997,-73.9876710001,Wifi Hotspots,City Tech,Office of Technology and Innovation (OTI),3,13,NA,"Device mac address, IP address, Browsing History",150,2006
2011-06-12,Devoe Park,Outdoor,40.8631000001,-73.9065000005,Wifi Hotspots,AT&T,Office of Technology and Innovation (OTI),2,263,NA,"Device mac address, IP address, Browsing History",150,2011
2013-07-31,Owl's Head Park,Outdoor,40.639278,-74.0320909998,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),3,34,NA,"Device mac address, IP address, Browsing History",150,2013
2013-07-31,Bowne Park,Outdoor TWC Aerial,40.7695360002,-73.8059679998,Wifi Hotspots,SPECTRUM,Office of Technology and Innovation (OTI),4,1151,NA,"Device mac address, IP address, Browsing History",150,2013
